FY,Month (abbv),Component,Region,Land Filter,Area of Responsibility,Drug Type,Count of Event,Sum Qty (lbs)
2022,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Heroin,11,129.2538936464796
2022,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Marijuana,53,3.6297788664728
2022,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Methamphetamine,92,4956.124279856819
2022,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Other Drugs**,26,94.9919196477382
2022,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Cocaine,10,128.160885843936
2022,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Fentanyl,22,171.0119593390664
2022,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Heroin,4,24.1039548148294
2022,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Marijuana,19,100.7227259172972
2022,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Methamphetamine,22,831.6430227511565
2022,APR,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Other Drugs**,10,21.076412709462
2022,APR,Office of Field Operations,Southwest Border,Other,LAREDO FIELD OFFICE,Marijuana,1,0.010582188576
2022,APR,Office of Field Operations,Southwest Border,Other,SAN DIEGO FIELD OFFICE,Marijuana,2,0.031305641204
2022,APR,Office of Field Operations,Southwest Border,Other,SAN DIEGO FIELD OFFICE,Methamphetamine,2,0.03747858454
2022,APR,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Fentanyl,2,0.0827174407024
2022,APR,Office of Field Operations,Southwest Border,Other,TUCSON FIELD OFFICE,Marijuana,5,3.094628771694
2022,APR,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Cocaine,4,16.9581
2022,APR,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Fentanyl,2,0.3703999999999999
2022,APR,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Heroin,1,5.5556
2022,APR,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Marijuana,8,94.3892
2022,APR,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Methamphetamine,2,10.4628
2022,APR,U.S. Border Patrol,Coastal/Interior,Other,MIAMI SECTOR,Other Drugs**,2,0.0604
2022,APR,U.S. Border Patrol,Coastal/Interior,Other,RAMEY SECTOR,Cocaine,2,538.0994
2022,APR,U.S. Border Patrol,Northern Border,Land Only,BLAINE SECTOR,Cocaine,1,0.0999
2022,APR,U.S. Border Patrol,Northern Border,Land Only,BLAINE SECTOR,Fentanyl,1,0.0344
2022,APR,U.S. Border Patrol,Northern Border,Land Only,BLAINE SECTOR,Heroin,1,0.071
2022,APR,U.S. Border Patrol,Northern Border,Land Only,BLAINE SECTOR,Marijuana,3,0.0264
2022,APR,U.S. Border Patrol,Northern Border,Land Only,BLAINE SECTOR,Methamphetamine,2,0.2581
2022,APR,U.S. Border Patrol,Northern Border,Land Only,BLAINE SECTOR,Other Drugs**,1,0.0028
2022,APR,U.S. Border Patrol,Northern Border,Land Only,BUFFALO SECTOR,Marijuana,1,0.3395
2022,APR,U.S. Border Patrol,Northern Border,Land Only,BUFFALO SECTOR,Other Drugs**,1,0.01
2022,APR,U.S. Border Patrol,Northern Border,Land Only,DETROIT SECTOR,Marijuana,1,0.2467
2022,APR,U.S. Border Patrol,Northern Border,Land Only,DETROIT SECTOR,Other Drugs**,1,0.0635
2022,APR,U.S. Border Patrol,Northern Border,Land Only,HOULTON SECTOR,Marijuana,4,0.3277
2022,APR,U.S. Border Patrol,Northern Border,Land Only,HOULTON SECTOR,Other Drugs**,1,0.0316
2022,APR,U.S. Border Patrol,Northern Border,Land Only,SPOKANE SECTOR,Marijuana,1,0.0265
2022,APR,U.S. Border Patrol,Northern Border,Land Only,SPOKANE SECTOR,Other Drugs**,1,0.0119
2022,APR,U.S. Border Patrol,Northern Border,Land Only,SWANTON SECTOR,Cocaine,1,0.0
2022,APR,U.S. Border Patrol,Northern Border,Land Only,SWANTON SECTOR,Marijuana,2,108.6373
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Cocaine,6,151.15460000000002
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Ecstasy,1,0.0024
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Marijuana,53,948.9228
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Methamphetamine,5,70.72389999999999
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,BIG BEND SECTOR,Other Drugs**,10,0.6101
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Cocaine,3,0.3327
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Marijuana,12,1.0338
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,DEL RIO SECTOR,Methamphetamine,1,0.0132
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Cocaine,2,12.2444
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Fentanyl,3,52.7215
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Heroin,1,13.6905
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Marijuana,5,0.3007999999999999
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Methamphetamine,7,214.9209
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,EL CENTRO SECTOR,Other Drugs**,2,0.6377
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Cocaine,5,4.6442
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Fentanyl,2,0.1840999999999999
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Heroin,1,0.0
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Marijuana,36,235.7452
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Methamphetamine,14,0.8094
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Other Drugs**,15,2.0164
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Cocaine,3,0.0176
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Marijuana,13,43.484
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Methamphetamine,1,211.1949
2022,APR,U.S. Border Patrol,Southwest Border,Land Only,LAREDO SECTOR,Other Drugs**,1,0.0038
